panel,row,column,assets,factors,red,green,blue
1,17,4,950,5,189,196,63
1,17,5,950,6,255,202,70
1,17,6,950,7,255,216,71
1,17,7,950,8,255,213,71
1,17,8,950,9,255,213,71
1,17,9,950,10,252,221,70
1,17,10,950,11,250,229,73
2,0,0,100,1,57,105,183
2,0,1,100,2,255,204,70
2,0,2,100,3,255,192,65
2,0,3,100,4,247,229,74
2,0,4,100,5,250,207,68
2,0,5,100,6,248,230,78
2,0,6,100,7,248,230,78
2,0,7,100,8,248,230,75
2,0,8,100,9,248,230,76
2,0,9,100,10,248,230,76
2,0,10,100,11,248,230,76
2,1,0,150,1,59,99,181
2,1,1,150,2,255,192,70
2,1,2,150,3,255,201,70
2,1,3,150,4,247,229,74
2,1,4,150,5,249,230,74
2,1,5,150,6,248,230,78
2,1,6,150,7,248,230,78
2,1,7,150,8,248,230,78
2,1,8,150,9,248,230,78
2,1,9,150,10,248,229,74
2,1,10,150,11,248,230,76
2,2,0,200,1,58,94,177
2,2,1,200,2,255,187,72
2,2,2,200,3,255,192,70
2,2,3,200,4,248,230,78
2,2,4,200,5,248,230,78
2,2,5,200,6,248,230,75
2,2,6,200,7,248,229,74
2,2,7,200,8,248,230,78
2,2,8,200,9,248,230,76
2,2,9,200,10,248,230,76
2,2,10,200,11,248,230,76
2,3,0,250,1,58,92,177
2,3,1,250,2,255,188,72
2,3,2,250,3,255,192,70
2,3,3,250,4,250,229,71
2,3,4,250,5,248,230,78
2,3,5,250,6,248,230,78
2,3,6,250,7,248,230,78
2,3,7,250,8,248,230,78
2,3,8,250,9,248,230,78
2,3,9,250,10,247,229,74
2,3,10,250,11,249,230,74
2,4,0,300,1,58,90,175
2,4,1,300,2,251,183,65
2,4,2,300,3,255,184,71
2,4,3,300,4,252,221,70
2,4,4,300,5,248,230,76
2,4,5,300,6,248,230,76
2,4,6,300,7,248,229,74
2,4,7,300,8,248,229,74
2,4,8,300,9,248,230,78
2,4,9,300,10,248,230,78
2,4,10,300,11,247,229,74
2,5,0,350,1,56,88,175
2,5,1,350,2,211,191,58
2,5,2,350,3,254,183,67
2,5,3,350,4,255,183,68
2,5,4,350,5,255,188,72
2,5,5,350,6,248,229,74
2,5,6,350,7,248,230,75
2,5,7,350,8,250,229,73
2,5,8,350,9,248,230,76
2,5,9,350,10,248,230,78
2,5,10,350,11,248,230,76
2,6,0,400,1,55,87,174
2,6,1,400,2,135,202,88
2,6,2,400,3,244,184,60
2,6,3,400,4,249,183,63
2,6,4,400,5,255,184,71
2,6,5,400,6,253,224,72
2,6,6,400,7,248,230,78
2,6,7,400,8,248,230,75
2,6,8,400,9,248,230,78
2,6,9,400,10,248,230,78
2,6,10,400,11,249,230,74
2,7,0,450,1,55,85,173
2,7,1,450,2,81,196,142
2,7,2,450,3,249,183,63
2,7,3,450,4,249,183,63
2,7,4,450,5,254,183,67
2,7,5,450,6,255,204,70
2,7,6,450,7,248,230,75
2,7,7,450,8,248,230,78
2,7,8,450,9,248,230,76
2,7,9,450,10,248,230,78
2,7,10,450,11,248,230,78
2,8,0,500,1,55,85,173
2,8,1,500,2,55,195,200
2,8,2,500,3,254,183,67
2,8,3,500,4,255,183,68
2,8,4,500,5,255,183,68
2,8,5,500,6,255,187,72
2,8,6,500,7,248,229,74
2,8,7,500,8,248,230,78
2,8,8,500,9,248,230,75
2,8,9,500,10,248,230,78
2,8,10,500,11,248,230,76
2,9,0,550,1,55,85,173
2,9,1,550,2,54,175,225
2,9,2,550,3,255,183,70
2,9,3,550,4,255,183,68
2,9,4,550,5,254,183,67
2,9,5,550,6,254,183,67
2,9,6,550,7,248,229,74
2,9,7,550,8,248,229,74
2,9,8,550,9,248,229,74
2,9,9,550,10,248,230,78
2,9,10,550,11,248,230,78
2,10,0,600,1,55,83,172
2,10,1,600,2,62,151,210
2,10,2,600,3,255,183,68
2,10,3,600,4,255,183,68
2,10,4,600,5,241,184,58
2,10,5,600,6,244,184,60
2,10,6,600,7,252,221,70
2,10,7,600,8,253,224,72
2,10,8,600,9,250,229,73
2,10,9,600,10,248,230,78
2,10,10,600,11,248,230,78
2,11,0,650,1,54,83,171
2,11,1,650,2,58,112,188
2,11,2,650,3,254,183,67
2,11,3,650,4,251,183,65
2,11,4,650,5,241,184,58
2,11,5,650,6,239,186,58
2,11,6,650,7,255,213,71
2,11,7,650,8,252,221,70
2,11,8,650,9,253,224,72
2,11,9,650,10,248,230,75
2,11,10,650,11,248,230,75
2,12,0,700,1,53,81,170
2,12,1,700,2,58,92,176
2,12,2,700,3,251,183,65
2,12,3,700,4,251,183,65
2,12,4,700,5,239,186,58
2,12,5,700,6,233,186,56
2,12,6,700,7,255,191,70
2,12,7,700,8,254,219,71
2,12,8,700,9,253,222,69
2,12,9,700,10,248,229,74
2,12,10,700,11,248,230,75
2,13,0,750,1,53,81,170
2,13,1,750,2,55,83,172
2,13,2,750,3,244,184,60
2,13,3,750,4,244,184,60
2,13,4,750,5,219,190,56
2,13,5,750,6,215,189,57
2,13,6,750,7,255,183,70
2,13,7,750,8,255,198,71
2,13,8,750,9,255,204,70
2,13,9,750,10,250,229,71
2,13,10,750,11,250,229,71
2,14,0,800,1,53,81,170
2,14,1,800,2,50,74,167
2,14,2,800,3,241,184,58
2,14,3,800,4,244,184,60
2,14,4,800,5,219,190,56
2,14,5,800,6,215,189,57
2,14,6,800,7,244,184,60
2,14,7,800,8,255,191,70
2,14,8,800,9,255,198,71
2,14,9,800,10,250,229,73
2,14,10,800,11,248,229,74
2,15,0,850,1,53,81,170
2,15,1,850,2,46,66,162
2,15,2,850,3,236,186,57
2,15,3,850,4,239,186,58
2,15,4,850,5,215,189,57
2,15,5,850,6,205,192,58
2,15,6,850,7,219,190,56
2,15,7,850,8,255,184,71
2,15,8,850,9,255,187,72
2,15,9,850,10,250,229,73
2,15,10,850,11,250,229,71
2,16,0,900,1,53,81,170
2,16,1,900,2,42,55,157
2,16,2,900,3,236,186,57
2,16,3,900,4,239,186,58
2,16,4,900,5,208,191,58
2,16,5,900,6,196,193,60
2,16,6,900,7,193,194,61
2,16,7,900,8,251,183,65
2,16,8,900,9,251,183,65
2,16,9,900,10,251,227,72
2,16,10,900,11,251,227,72
2,17,0,950,1,53,81,170
2,17,1,950,2,39,50,154
2,17,2,950,3,239,186,58
2,17,3,950,4,241,184,58
2,17,4,950,5,211,191,58
2,17,5,950,6,200,193,59
2,17,6,950,7,200,193,59
2,17,7,950,8,246,184,61
2,17,8,950,9,244,184,60
2,17,9,950,10,251,225,71
2,17,10,950,11,251,225,71
3,0,0,100,1,56,88,175
3,0,1,100,2,51,187,219
3,0,2,100,3,255,217,69
3,0,3,100,4,248,229,74
3,0,4,100,5,251,183,60
3,0,5,100,6,250,228,71
3,0,6,100,7,251,206,67
3,0,7,100,8,250,229,71
3,0,8,100,9,248,230,76
3,0,9,100,10,248,230,78
3,0,10,100,11,249,206,68
3,1,0,150,1,55,87,174
3,1,1,150,2,54,183,225
3,1,2,150,3,248,230,78
3,1,3,150,4,255,218,71
3,1,4,150,5,255,218,71
3,1,5,150,6,251,227,72
3,1,6,150,7,254,219,71
3,1,7,150,8,253,222,68
3,1,8,150,9,252,224,70
3,1,9,150,10,253,224,71
3,1,10,150,11,250,229,71
3,2,0,200,1,55,87,174
3,2,1,200,2,51,187,219
3,2,2,200,3,248,230,78
3,2,3,200,4,253,222,69
3,2,4,200,5,253,224,72
3,2,5,200,6,250,229,73
3,2,6,200,7,250,228,71
3,2,7,200,8,248,229,74
3,2,8,200,9,250,229,73
3,2,9,200,10,248,229,74
3,2,10,200,11,250,229,73
3,3,0,250,1,55,85,173
3,3,1,250,2,54,183,225
3,3,2,250,3,248,230,75
3,3,3,250,4,250,229,73
3,3,4,250,5,250,229,73
3,3,5,250,6,248,230,76
3,3,6,250,7,248,229,74
3,3,7,250,8,250,229,71
3,3,8,250,9,248,230,78
3,3,9,250,10,248,230,78
3,3,10,250,11,248,230,75
3,4,0,300,1,56,86,174
3,4,1,300,2,53,184,224
3,4,2,300,3,248,229,74
3,4,3,300,4,250,229,71
3,4,4,300,5,250,229,73
3,4,5,300,6,248,230,78
3,4,6,300,7,248,230,76
3,4,7,300,8,248,230,78
3,4,8,300,9,248,230,78
3,4,9,300,10,248,230,78
3,4,10,300,11,250,229,71
3,5,0,350,1,55,85,173
3,5,1,350,2,52,182,227
3,5,2,350,3,255,218,71
3,5,3,350,4,250,229,73
3,5,4,350,5,250,229,71
3,5,5,350,6,248,230,76
3,5,6,350,7,248,230,75
3,5,7,350,8,248,230,76
3,5,8,350,9,247,229,74
3,5,9,350,10,248,230,76
3,5,10,350,11,249,230,74
3,6,0,400,1,55,83,172
3,6,1,400,2,53,181,227
3,6,2,400,3,255,184,71
3,6,3,400,4,250,229,73
3,6,4,400,5,250,229,73
3,6,5,400,6,248,229,74
3,6,6,400,7,248,229,74
3,6,7,400,8,249,230,74
3,6,8,400,9,247,229,74
3,6,9,400,10,248,230,76
3,6,10,400,11,248,230,78
3,7,0,450,1,54,83,171
3,7,1,450,2,52,182,227
3,7,2,450,3,215,189,57
3,7,3,450,4,250,228,71
3,7,4,450,5,251,227,72
3,7,5,450,6,250,229,73
3,7,6,450,7,248,229,74
3,7,7,450,8,248,230,78
3,7,8,450,9,248,230,78
3,7,9,450,10,248,230,78
